date,campaign_name,spend,clicks,impressions,conversions
2025-10-27,Brand Campaign,398.78,562,17548,40
2025-10-27,Product Launch,469.68,501,14278,37
2025-10-27,Retargeting,719.03,361,10438,20
2025-10-27,Black Friday Special,365.06,594,17230,37
2025-10-28,Brand Campaign,349.38,430,21306,17
2025-10-28,Product Launch,436.9,632,19245,40
2025-10-28,Retargeting,333.31,558,19991,20
2025-10-28,Black Friday Special,302.28,428,15901,14
2025-10-29,Brand Campaign,642.74,314,11046,11
2025-10-29,Product Launch,583.6,776,23628,29
2025-10-29,Retargeting,792.65,765,22952,27
2025-10-29,Black Friday Special,634.66,488,17696,21
2025-10-30,Brand Campaign,645.65,561,21050,18
2025-10-30,Product Launch,767.52,690,17299,27
2025-10-30,Retargeting,461.97,500,15849,27
2025-10-30,Black Friday Special,601.56,347,11184,18
2025-10-31,Brand Campaign,459.97,322,10089,14
2025-10-31,Product Launch,627.95,533,16186,24
2025-10-31,Retargeting,655.9,665,17068,43
2025-10-31,Black Friday Special,473.92,420,18311,28
2025-11-01,Brand Campaign,565.45,432,12702,16
2025-11-01,Product Launch,419.94,644,17128,45
2025-11-01,Retargeting,714.08,491,20455,34
2025-11-01,Black Friday Special,574.48,269,10757,12
2025-11-02,Brand Campaign,531.04,732,19574,39
2025-11-02,Product Launch,673.37,349,14110,18
2025-11-02,Retargeting,704.27,692,21912,41
2025-11-02,Black Friday Special,712.41,488,21218,37
2025-11-03,Brand Campaign,303.86,408,19242,24
2025-11-03,Product Launch,653.03,554,21566,25
2025-11-03,Retargeting,399.68,368,10811,26
2025-11-03,Black Friday Special,784.28,612,22020,30
2025-11-04,Brand Campaign,546.67,641,16573,50
2025-11-04,Product Launch,631.55,563,18618,20
2025-11-04,Retargeting,495.37,253,11671,11
2025-11-04,Black Friday Special,687.1,356,12936,26
2025-11-05,Brand Campaign,705.15,691,21192,45
2025-11-05,Product Launch,555.36,351,13068,11
2025-11-05,Retargeting,473.56,675,19234,25
2025-11-05,Black Friday Special,602.91,474,14665,20
2025-11-06,Brand Campaign,716.62,752,19536,22
2025-11-06,Product Launch,726.29,649,21110,26
2025-11-06,Retargeting,529.41,422,15247,16
2025-11-06,Black Friday Special,523.47,507,14946,16
