date,sessions,conversions,bounce_rate,source
2025-10-27,2217,94,0.4043,google
2025-10-27,1483,54,0.4216,facebook
2025-10-27,1274,54,0.4961,direct
2025-10-27,560,12,0.3523,email
2025-10-27,624,21,0.4797,linkedin
2025-10-28,2467,83,0.5266,google
2025-10-28,1250,50,0.3706,facebook
2025-10-28,2370,57,0.3663,direct
2025-10-28,981,21,0.3973,email
2025-10-28,730,35,0.3729,linkedin
2025-10-29,2514,54,0.4688,google
2025-10-29,1577,53,0.4323,facebook
2025-10-29,2001,88,0.3687,direct
2025-10-29,897,25,0.4119,email
2025-10-29,821,25,0.4882,linkedin
2025-10-30,1977,45,0.3898,google
2025-10-30,1510,71,0.4461,facebook
2025-10-30,1224,53,0.4734,direct
2025-10-30,638,24,0.3802,email
2025-10-30,621,22,0.3869,linkedin
2025-10-31,2470,114,0.3759,google
2025-10-31,1363,55,0.459,facebook
2025-10-31,1879,43,0.4077,direct
2025-10-31,906,25,0.4961,email
2025-10-31,515,18,0.5392,linkedin
2025-11-01,1772,50,0.3693,google
2025-11-01,1318,55,0.4935,facebook
2025-11-01,1566,42,0.5084,direct
2025-11-01,630,14,0.4456,email
2025-11-01,599,13,0.46,linkedin
2025-11-02,1547,53,0.5022,google
2025-11-02,814,38,0.3523,facebook
2025-11-02,2332,50,0.3665,direct
2025-11-02,808,28,0.4608,email
2025-11-02,933,27,0.3908,linkedin
2025-11-03,1570,52,0.4545,google
2025-11-03,1590,51,0.5168,facebook
2025-11-03,1502,44,0.5386,direct
2025-11-03,524,22,0.4287,email
2025-11-03,914,21,0.4923,linkedin
2025-11-04,2907,78,0.4439,google
2025-11-04,1367,38,0.4957,facebook
2025-11-04,1211,35,0.5066,direct
2025-11-04,882,23,0.4374,email
2025-11-04,844,35,0.3657,linkedin
2025-11-05,1865,61,0.4372,google
2025-11-05,1453,29,0.4563,facebook
2025-11-05,1790,44,0.3829,direct
2025-11-05,652,24,0.4847,email
2025-11-05,746,16,0.4477,linkedin
2025-11-06,2530,85,0.373,google
2025-11-06,1166,46,0.3647,facebook
2025-11-06,1427,70,0.5375,direct
2025-11-06,538,22,0.4491,email
2025-11-06,780,29,0.3533,linkedin
2025-11-07,2790,131,0.4185,google
2025-11-07,1361,52,0.4033,facebook
2025-11-07,1823,70,0.5447,direct
2025-11-07,764,25,0.451,email
2025-11-07,526,18,0.4014,linkedin
2025-11-08,2281,54,0.4806,google
2025-11-08,1484,65,0.4869,facebook
2025-11-08,1661,47,0.3877,direct
2025-11-08,620,14,0.3615,email
2025-11-08,541,24,0.4012,linkedin
2025-11-09,1795,48,0.4652,google
2025-11-09,1162,56,0.4444,facebook
2025-11-09,2170,86,0.4103,direct
2025-11-09,898,21,0.433,email
2025-11-09,696,32,0.3542,linkedin
2025-11-10,1620,75,0.4845,google
2025-11-10,1024,29,0.4437,facebook
2025-11-10,1284,60,0.4034,direct
2025-11-10,929,43,0.4666,email
2025-11-10,670,23,0.4499,linkedin
2025-11-11,2957,73,0.493,google
2025-11-11,951,25,0.4101,facebook
2025-11-11,1519,56,0.4979,direct
2025-11-11,774,22,0.5117,email
2025-11-11,504,21,0.4445,linkedin
2025-11-12,1951,93,0.4377,google
2025-11-12,1457,48,0.4065,facebook
2025-11-12,1823,55,0.5325,direct
2025-11-12,665,24,0.5298,email
2025-11-12,975,29,0.3627,linkedin
2025-11-13,2359,116,0.5026,google
2025-11-13,916,24,0.4481,facebook
2025-11-13,1725,48,0.4769,direct
2025-11-13,585,25,0.3913,email
2025-11-13,936,33,0.4564,linkedin
2025-11-14,2311,61,0.5118,google
2025-11-14,1239,46,0.4174,facebook
2025-11-14,1765,58,0.5097,direct
2025-11-14,716,23,0.4538,email
2025-11-14,963,23,0.3976,linkedin
