date,campaign_name,spend,clicks,impressions,conversions
2025-10-27,Brand Campaign,492.24,288,11383,12
2025-10-27,Product Launch,435.2,919,24456,67
2025-10-27,Retargeting,494.19,633,16346,42
2025-10-27,Black Friday Special,364.28,722,23822,30
2025-10-28,Brand Campaign,436.3,451,19997,19
2025-10-28,Product Launch,611.69,607,22969,30
2025-10-28,Retargeting,742.27,654,18198,36
2025-10-28,Black Friday Special,639.04,559,14783,39
2025-10-29,Brand Campaign,600.85,522,18609,18
2025-10-29,Product Launch,336.74,465,20656,26
2025-10-29,Retargeting,334.21,848,22723,54
2025-10-29,Black Friday Special,388.12,487,22316,24
2025-10-30,Brand Campaign,715.6,835,23756,32
2025-10-30,Product Launch,522.54,345,13668,15
2025-10-30,Retargeting,432.16,634,20648,27
2025-10-30,Black Friday Special,764.4,502,15418,34
2025-10-31,Brand Campaign,561.26,633,20171,39
2025-10-31,Product Launch,630.47,510,20582,36
2025-10-31,Retargeting,495.15,354,12656,18
2025-10-31,Black Friday Special,767.45,547,15603,26
2025-11-01,Brand Campaign,377.07,466,19762,36
2025-11-01,Product Launch,625.39,543,13791,30
2025-11-01,Retargeting,587.38,863,24519,40
2025-11-01,Black Friday Special,793.84,505,22958,18
2025-11-02,Brand Campaign,618.99,535,21210,37
2025-11-02,Product Launch,716.17,428,20492,17
2025-11-02,Retargeting,733.98,913,24708,29
2025-11-02,Black Friday Special,382.44,664,23514,25
2025-11-03,Brand Campaign,577.43,791,20401,42
2025-11-03,Product Launch,483.52,858,24599,45
2025-11-03,Retargeting,651.74,631,18513,46
2025-11-03,Black Friday Special,597.66,553,18538,40
2025-11-04,Brand Campaign,500.91,603,15851,35
2025-11-04,Product Launch,760.84,756,23998,46
2025-11-04,Retargeting,399.29,490,12282,26
2025-11-04,Black Friday Special,519.1,755,21824,42
2025-11-05,Brand Campaign,766.27,785,21547,62
2025-11-05,Product Launch,405.15,429,13013,18
2025-11-05,Retargeting,597.39,397,13776,18
2025-11-05,Black Friday Special,613.38,527,13630,39
2025-11-06,Brand Campaign,698.74,459,12758,34
2025-11-06,Product Launch,537.53,380,16909,26
2025-11-06,Retargeting,482.43,336,12844,20
2025-11-06,Black Friday Special,700.76,747,24357,49
2025-11-07,Brand Campaign,393.69,279,10264,14
2025-11-07,Product Launch,476.55,769,22835,32
2025-11-07,Retargeting,421.82,761,23833,41
2025-11-07,Black Friday Special,555.18,551,15946,38
2025-11-08,Brand Campaign,402.02,275,12061,13
2025-11-08,Product Launch,307.38,277,11671,11
2025-11-08,Retargeting,547.75,261,10245,19
2025-11-08,Black Friday Special,370.18,459,12505,15
2025-11-09,Brand Campaign,705.36,459,16856,35
2025-11-09,Product Launch,718.79,451,19472,27
2025-11-09,Retargeting,786.64,388,14758,16
2025-11-09,Black Friday Special,626.91,356,14747,17
2025-11-10,Brand Campaign,524.16,440,15878,25
2025-11-10,Product Launch,652.36,311,12668,10
2025-11-10,Retargeting,476.11,337,15487,25
2025-11-10,Black Friday Special,331.74,499,20108,38
2025-11-11,Brand Campaign,595.95,543,22740,20
2025-11-11,Product Launch,663.06,824,23012,62
2025-11-11,Retargeting,367.61,723,18737,47
