date,sessions,conversions,bounce_rate,source
2025-10-27,2246,98,0.4205,google
2025-10-27,804,22,0.4451,facebook
2025-10-27,1965,81,0.3605,direct
2025-10-27,983,24,0.4001,email
2025-10-27,892,28,0.4815,linkedin
2025-10-28,1710,46,0.4573,google
2025-10-28,1491,72,0.3619,facebook
2025-10-28,1742,57,0.3924,direct
2025-10-28,749,23,0.4945,email
2025-10-28,507,11,0.4851,linkedin
2025-10-29,2687,116,0.4406,google
2025-10-29,956,35,0.3752,facebook
2025-10-29,1818,64,0.4131,direct
2025-10-29,794,37,0.3943,email
2025-10-29,917,20,0.3876,linkedin
2025-10-30,2008,66,0.354,google
2025-10-30,1423,61,0.501,facebook
2025-10-30,1788,87,0.4925,direct
2025-10-30,564,20,0.4228,email
2025-10-30,760,22,0.5475,linkedin
2025-10-31,2256,102,0.3559,google
2025-10-31,1047,21,0.3802,facebook
2025-10-31,1216,27,0.4095,direct
2025-10-31,829,41,0.4458,email
2025-10-31,806,17,0.3932,linkedin
2025-11-01,2357,87,0.5279,google
2025-11-01,1043,46,0.4769,facebook
2025-11-01,1982,81,0.4088,direct
2025-11-01,884,21,0.5492,email
2025-11-01,569,14,0.4651,linkedin
2025-11-02,2256,52,0.4775,google
2025-11-02,1419,32,0.4311,facebook
2025-11-02,1370,49,0.4266,direct
2025-11-02,928,40,0.4767,email
2025-11-02,647,28,0.5271,linkedin
2025-11-03,1576,41,0.545,google
2025-11-03,1419,54,0.4485,facebook
2025-11-03,1260,51,0.4336,direct
2025-11-03,904,21,0.4423,email
2025-11-03,624,14,0.3757,linkedin
2025-11-04,1578,78,0.4267,google
2025-11-04,983,24,0.4846,facebook
2025-11-04,2270,89,0.412,direct
2025-11-04,672,31,0.4915,email
2025-11-04,554,20,0.3697,linkedin
2025-11-05,1890,40,0.4341,google
2025-11-05,1327,34,0.3907,facebook
2025-11-05,2215,79,0.463,direct
2025-11-05,996,27,0.4017,email
2025-11-05,782,16,0.4114,linkedin
2025-11-06,2530,58,0.5276,google
2025-11-06,1019,49,0.4664,facebook
2025-11-06,1801,83,0.4582,direct
2025-11-06,542,26,0.4724,email
2025-11-06,988,19,0.51,linkedin
2025-11-07,1821,46,0.4258,google
2025-11-07,997,47,0.3938,facebook
2025-11-07,1624,74,0.4708,direct
2025-11-07,731,28,0.3768,email
2025-11-07,833,28,0.3597,linkedin
2025-11-08,2165,43,0.4344,google
2025-11-08,1387,51,0.3992,facebook
2025-11-08,1447,43,0.415,direct
2025-11-08,909,21,0.4149,email
2025-11-08,863,25,0.4975,linkedin
2025-11-09,1661,74,0.3908,google
2025-11-09,1053,28,0.5025,facebook
2025-11-09,2175,55,0.355,direct
2025-11-09,515,24,0.5165,email
2025-11-09,845,26,0.5027,linkedin
2025-11-10,1836,76,0.4422,google
2025-11-10,899,27,0.4373,facebook
2025-11-10,1547,56,0.4144,direct
2025-11-10,885,25,0.5047,email
2025-11-10,707,24,0.4239,linkedin
2025-11-11,2923,135,0.4457,google
2025-11-11,1223,59,0.473,facebook
2025-11-11,1790,78,0.36,direct
2025-11-11,803,34,0.4725,email
2025-11-11,647,18,0.4633,linkedin
2025-11-12,2512,110,0.5172,google
2025-11-12,1043,42,0.4686,facebook
2025-11-12,1748,51,0.4764,direct
2025-11-12,679,19,0.433,email
2025-11-12,875,19,0.4413,linkedin
2025-11-13,1667,44,0.4308,google
2025-11-13,1401,56,0.4408,facebook
2025-11-13,1359,50,0.444,direct
2025-11-13,776,18,0.4023,email
2025-11-13,883,32,0.4062,linkedin
2025-11-14,2554,99,0.3636,google
2025-11-14,1179,33,0.3665,facebook
2025-11-14,1322,51,0.3902,direct
2025-11-14,604,16,0.3515,email
2025-11-14,810,35,0.5381,linkedin
2025-11-15,1796,87,0.5211,google
2025-11-15,822,32,0.4819,facebook
2025-11-15,1843,77,0.4539,direct
2025-11-15,941,40,0.3976,email
2025-11-15,731,15,0.5462,linkedin
2025-11-16,2054,89,0.4577,google
2025-11-16,1387,43,0.4415,facebook
2025-11-16,2197,84,0.5238,direct
2025-11-16,579,23,0.4276,email
2025-11-16,953,47,0.3806,linkedin
2025-11-17,2322,74,0.4558,google
2025-11-17,1216,54,0.5243,facebook
2025-11-17,1732,75,0.5035,direct
2025-11-17,933,27,0.4263,email
2025-11-17,747,21,0.3664,linkedin
2025-11-18,1730,70,0.4261,google
2025-11-18,1361,55,0.3627,facebook
2025-11-18,1206,30,0.514,direct
2025-11-18,654,20,0.3636,email
2025-11-18,523,14,0.4191,linkedin
2025-11-19,2084,71,0.3779,google
2025-11-19,1339,31,0.4926,facebook
2025-11-19,1306,50,0.3519,direct
2025-11-19,744,34,0.4917,email
