event_id,timestamp,event_type,severity,source_system,action_taken,username,source_ip,destination_ip,risk_score,status,details,date,hour
EVT-000000,2026-05-14T14:50:03.982720,network_connection,high,email_gateway,logged,user_7112,185.142.117.40,169.204.100.242,89,resolved,"{""protocol"": ""HTTPS"", ""port"": 3306, ""bytes_transferred"": 182812}",2026-05-14,14
EVT-000001,2025-12-10T14:52:21.982152,firewall_block,info,endpoint_protection,blocked,user_2275,181.44.139.241,59.181.58.82,0,,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 356010}",2025-12-10,14
EVT-000002,2025-12-07T18:56:05.982152,file_access,critical,database_audit,allowed,user_3976,192.168.60.246,121.101.14.60,93,false_positive,"{""protocol"": ""ICMP"", ""port"": 8080, ""bytes_transferred"": 42206}",2025-12-07,18
EVT-000003,2025-12-07T20:57:38.982152,file_access,info,database_audit,logged,user_3127,206.214.214.137,178.235.225.154,5,investigating,"{""protocol"": ""TCP"", ""port"": 80, ""bytes_transferred"": 240242}",2025-12-07,20
EVT-000004,2025-12-11T00:28:58.982152,login_success,low,endpoint_protection,allowed,user_7025,198.233.128.168,138.169.33.95,62,resolved,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 652056}",2025-12-11,0
EVT-000005,2025-12-12T06:58:40.982152,privilege_escalation,medium,ids,logged,user_9108,68.251.93.34,98.187.132.8,45,open,"{""protocol"": ""UDP"", ""port"": 80, ""bytes_transferred"": 171487}",2025-12-12,6
,2026-08-23T14:50:04.012577,login_failure,info,ids,quarantined,user_7654,149.186.168.192,90.151.51.11,3,investigating,"{""protocol"": ""HTTP"", ""port"": 3389, ""bytes_transferred"": 190775}",2026-08-23,14
EVT-000007,2025-12-07T18:40:32.982152,firewall_block,info,web_gateway,alerted,user_7840,192.168.18.165,74.123.208.116,9,investigating,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 651493}",2025-12-07,18
EVT-000008,2025-12-07T03:20:53.982152,data_exfiltration_attempt,info,firewall,quarantined,user_1721,192.168.133.138,181.185.85.122,0,false_positive,"{""protocol"": ""TCP"", ""port"": 80, ""bytes_transferred"": 389249}",2025-12-07,3
EVT-000009,2025-12-08T19:49:44.982152,file_access,low,network_monitor,allowed,user_1480,154.135.179.54,75.160.54.245,35,open,"{""protocol"": ""TCP"", ""port"": 3306, ""bytes_transferred"": 655991}",2025-12-08,19
EVT-000010,2025-12-11T13:42:38.982152,login_failure,medium,authentication_server,blocked,user_6165,192.168.20.158,183.113.161.206,45,resolved,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 198938}",2025-12-11,13
EVT-000011,2026-02-09T14:50:04.013328,data_exfiltration_attempt,critical,authentication_server,alerted,user_1668,206.163.158.211,163.183.136.182,99,investigating,"{""protocol"": ""HTTPS"", ""port"": 80, ""bytes_transferred"": 271743}",2026-02-09,14
EVT-000012,2025-12-06T17:33:55.982152,login_success,info,web_gateway,logged,user_7719,192.168.4.200,95.243.76.244,9,investigating,"{""protocol"": ""HTTPS"", ""port"": 1433, ""bytes_transferred"": 341162}",2025-12-06,17
EVT-000013,2025-12-05T22:48:04.982152,suspicious_activity,medium,dlp_system,logged,joavila@example.net,192.168.12.82,99.120.42.184,58,open,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 398162}",2025-12-05,22
EVT-000014,2025-12-06T00:31:18.982152,login_attempt,medium,web_gateway,logged,user_9179,192.168.109.57,10.19.241.145,45,investigating,"{""protocol"": ""ICMP"", ""port"": 3306, ""bytes_transferred"": 822685}",2025-12-06,0
EVT-000015,2025-12-07T19:23:06.982152,privilege_escalation,info,dlp_system,blocked,user_8462,192.168.4.167,74.129.61.222,1,investigating,"{""protocol"": ""TCP"", ""port"": 1433, ""bytes_transferred"": 847081}",2025-12-07,19
EVT-000016,2025-12-11T00:57:16.982152,ids_alert,low,dlp_system,blocked,user_9264,173.4.202.97,,17,open,"{""protocol"": ""HTTPS"", ""port"": 3306, ""bytes_transferred"": 385854}",2025-12-11,0
