grid_lon,grid_lat,cell_id,noise_mean,noise_median,noise_min,noise_max,noise_std,dominant_vessel_type,vessel_count,center_lon,center_lat
-95.0,29.25,-95.0_29.25,146.28664747176765,146.28664747176765,146.28664747176765,146.28664747176765,,Other,1,-94.9875,29.2625
-95.0,29.275000000000002,-95.0_29.275000000000002,161.43810204308846,161.43810204308846,161.43810204308846,161.43810204308846,,Tanker,1,-94.9875,29.2875
-95.0,29.6,-95.0_29.6,146.27300630582775,146.15224460689137,140.0,152.78753600952828,7.246127691285855,Other,4,-94.9875,29.6125
-95.0,29.650000000000002,-95.0_29.650000000000002,148.40055884099814,148.40055884099814,148.40055884099814,148.40055884099814,,Other,1,-94.9875,29.6625
-95.0,29.675,-95.0_29.675,161.46433780144596,164.57682926754433,153.22219294733918,168.33170688980752,6.299281355657346,Other,11,-94.9875,29.6875
-95.0,29.700000000000003,-95.0_29.700000000000003,153.33333333333334,150.0,150.0,160.0,5.77350269189626,Other,3,-94.9875,29.712500000000002
-94.97500000000001,29.275000000000002,-94.97500000000001_29.275000000000002,154.00913830600342,150.41392685158226,149.87666264926276,165.33203687158635,7.5528466550485955,Other,4,-94.9625,29.2875
-94.97500000000001,29.450000000000003,-94.97500000000001_29.450000000000003,158.6461310271338,155.7978359661681,145.1851393987789,168.11753861055755,6.435303060699445,Other,25,-94.9625,29.462500000000002
-94.97500000000001,29.575000000000003,-94.97500000000001_29.575000000000003,146.98726731303344,146.98726731303344,146.98726731303344,146.98726731303344,,Other,1,-94.9625,29.587500000000002
-94.97500000000001,29.6,-94.97500000000001_29.6,151.41651791676057,152.30448921378274,140.0,169.3640344813399,10.175576791631558,Other,23,-94.9625,29.6125
-94.97500000000001,29.625,-94.97500000000001_29.625,152.24097696554585,152.30448921378274,140.0,171.54108439147402,10.246416627878771,Other,24,-94.9625,29.6375
-94.97500000000001,29.650000000000002,-94.97500000000001_29.650000000000002,160.04180649897697,164.74228060299694,149.7889234061877,165.59421548774623,8.889468884459056,Tanker,3,-94.9625,29.6625
-94.97500000000001,29.675,-94.97500000000001_29.675,160.81185227383554,160.81185227383554,152.52680734750086,169.0968972001702,11.716822899692872,Other,2,-94.9625,29.6875
-94.95,28.575000000000003,-94.95_28.575000000000003,175.6359209591802,175.6359209591802,175.6359209591802,175.6359209591802,,Tanker,1,-94.9375,28.587500000000002
-94.95,28.650000000000002,-94.95_28.650000000000002,171.85606273598313,171.85606273598313,171.85606273598313,171.85606273598313,,Tanker,1,-94.9375,28.6625
-94.95,29.275000000000002,-94.95_29.275000000000002,147.6715586608218,147.6715586608218,140.0,155.3431173216436,10.84922230267497,Other,2,-94.9375,29.2875
-94.95,29.575000000000003,-94.95_29.575000000000003,166.09690804224292,167.75550124358307,155.60634624280303,171.34019239376914,5.9486274959028025,Tanker,6,-94.9375,29.587500000000002
-94.95,29.6,-94.95_29.6,150.1615268406137,153.61727836017593,140.0,155.7978359661681,6.948106404880639,Other,8,-94.9375,29.6125
-94.92500000000001,29.275000000000002,-94.92500000000001_29.275000000000002,153.19243935075693,150.79181246047625,145.8433122436753,161.25679826843427,6.067642632457885,Other,5,-94.91250000000001,29.2875
-94.92500000000001,29.35,-94.92500000000001_29.35,155.9956414931049,153.61727836017593,140.0,169.5836249209525,10.760300787581562,Other,14,-94.91250000000001,29.3625
-94.92500000000001,29.450000000000003,-94.92500000000001_29.450000000000003,148.8206844429176,151.7609125905568,140.0,151.7609125905568,5.880456295278407,Other,4,-94.91250000000001,29.462500000000002
-94.92500000000001,29.525000000000002,-94.92500000000001_29.525000000000002,166.57477437354387,166.57477437354387,163.17185112837015,169.9776976187176,4.812460205039346,Cargo,2,-94.91250000000001,29.5375
-94.92500000000001,29.55,-94.92500000000001_29.55,170.2382045885096,171.25939283773434,166.48528411737493,172.9699368104196,3.360773604041015,Tanker,3,-94.91250000000001,29.5625
-94.92500000000001,29.675,-94.92500000000001_29.675,151.46128035678237,151.46128035678237,151.46128035678237,151.46128035678237,,Other,1,-94.91250000000001,29.6875
-94.9,28.875,-94.9_28.875,169.1512532444515,169.1512532444515,169.1512532444515,169.1512532444515,,Cargo,1,-94.8875,28.8875
-94.9,29.275000000000002,-94.9_29.275000000000002,158.60409678761425,159.77121254719663,146.35664665160334,166.18308388529562,6.5251776534582815,Cargo,6,-94.8875,29.2875
-94.9,29.35,-94.9_29.35,163.95458643836787,168.60697840353612,140.0,170.6245108973043,8.287199190070101,Tanker,38,-94.8875,29.3625
-94.9,29.375,-94.9_29.375,156.09897361022496,154.31363764158988,148.29946695941635,170.67171728403014,6.308425201718628,Other,11,-94.8875,29.3875
-94.9,29.5,-94.9_29.5,151.7723754337151,155.1851393987789,140.0,165.828508546087,8.412246828585005,Other,15,-94.8875,29.5125
-94.9,29.6,-94.9_29.6,166.96649353898115,168.97940008672037,156.90196080028514,168.97940008672037,4.930593941868281,Cargo,6,-94.8875,29.6125
-94.875,28.700000000000003,-94.875_28.700000000000003,152.85215906761974,152.85215906761974,152.85215906761974,152.85215906761974,,Cargo,1,-94.8625,28.712500000000002
-94.875,29.275000000000002,-94.875_29.275000000000002,157.71090056315896,159.77121254719663,140.0,166.81241237375588,7.4982467860713715,Cargo,22,-94.8625,29.2875
-94.875,29.3,-94.875_29.3,151.41085879763796,151.41085879763796,151.41085879763796,151.41085879763796,,Other,1,-94.8625,29.3125
-94.875,29.35,-94.875_29.35,157.99067524087295,157.99067524087295,153.80211241711606,162.17923806462983,5.923522352208731,Other,2,-94.8625,29.3625
-94.875,29.375,-94.875_29.375,161.93450813052718,168.56904851336472,140.0,168.7554696139253,8.201713153135245,Tanker,40,-94.8625,29.3875
-94.875,29.450000000000003,-94.875_29.450000000000003,154.93268397875158,154.93268397875158,154.93268397875158,154.93268397875158,,Other,1,-94.8625,29.462500000000002
-94.875,29.475,-94.875_29.475,154.08447542392122,150.838464792955,144.8315920971698,166.52375067127122,7.682350690273522,Other,7,-94.8625,29.4875
-94.875,29.5,-94.875_29.5,156.78576095279553,157.36112723646085,140.0,170.44153372551423,10.912728326087148,Other,5,-94.8625,29.5125
-94.85000000000001,29.275000000000002,-94.85000000000001_29.275000000000002,150.0289394171709,152.55272505103306,140.0,158.51258348719074,7.463141751466414,Other,9,-94.8375,29.2875
-94.85000000000001,29.3,-94.85000000000001_29.3,141.12605001534575,141.12605001534575,141.12605001534575,141.12605001534575,,Other,1,-94.8375,29.3125
-94.85000000000001,29.325000000000003,-94.85000000000001_29.325000000000003,152.7846533697075,146.87243499380742,146.4087877870162,165.07273732829898,10.644317625528455,Other,3,-94.8375,29.337500000000002
-94.85000000000001,29.400000000000002,-94.85000000000001_29.400000000000002,174.43964447508642,174.43964447508642,174.43964447508642,174.43964447508642,,Tanker,1,-94.8375,29.4125
-94.85000000000001,29.425,-94.85000000000001_29.425,161.05840225533294,167.34384812821116,144.0823996531185,172.77561116968738,12.548962248875261,Tanker,7,-94.8375,29.4375
-94.85000000000001,29.450000000000003,-94.85000000000001_29.450000000000003,164.1611765111152,166.99687078179085,151.09905747351283,171.55190700736628,9.02223910093075,Cargo,4,-94.8375,29.462500000000002
-94.825,28.450000000000003,-94.825_28.450000000000003,173.42536289482706,173.42536289482706,173.42536289482706,173.42536289482706,,Cargo,1,-94.8125,28.462500000000002
-94.825,29.3,-94.825_29.3,159.67235723342122,157.63427993562937,144.62397997898955,170.6245108973043,7.042789343673679,Other,65,-94.8125,29.3125
-94.825,29.325000000000003,-94.825_29.325000000000003,162.04890628667883,159.0848501887865,148.20457624237116,173.42422680822207,8.64908934812975,Other,9,-94.8125,29.337500000000002
-94.825,29.35,-94.825_29.35,159.60315340800597,159.2086337386594,152.31388025122544,167.68146590347962,7.870980220661928,Other,4,-94.8125,29.3625
-94.825,29.375,-94.825_29.375,157.43703288100545,154.04861072891052,147.96976528387594,166.700010303276,8.182276856993381,Other,7,-94.8125,29.3875
-94.825,29.400000000000002,-94.825_29.400000000000002,166.29813046307743,166.29813046307743,166.29813046307743,166.29813046307743,,Tanker,1,-94.8125,29.4125
-94.80000000000001,29.3,-94.80000000000001_29.3,155.12590935167933,153.61727836017593,140.0,168.45322978786658,6.3130133974928135,Other,88,-94.78750000000001,29.3125
-94.80000000000001,29.325000000000003,-94.80000000000001_29.325000000000003,169.4876042857627,169.96456944098924,168.41937935750178,170.07886405879705,0.9268733397468352,Passenger,3,-94.78750000000001,29.337500000000002
-94.80000000000001,29.35,-94.80000000000001_29.35,158.86331424533,162.63552314294265,140.0,171.5781768597633,12.23634565549167,Passenger,10,-94.78750000000001,29.3625
-94.80000000000001,29.375,-94.80000000000001_29.375,165.1848704289507,165.1848704289507,165.1848704289507,165.1848704289507,,Cargo,1,-94.78750000000001,29.3875
-94.775,29.0,-94.775_29.0,140.0,140.0,140.0,140.0,,Fishing,1,-94.7625,29.0125
